model,r2_ols,adj_r2_ols,n_obs,aic,nsii_coef,nsii_se,nsii_pval,r2_xgboost,r2_source
M1: NSII only,0.07949375316917007,0.07928745414477945,4464,10733.414888839248,2.7204453598588216,0.1318802519423694,1.5341381562865614e-94,0.3661,OLS+XGBoost
M2: Components,0.2344546307281622,0.23376788897505907,4464,9916.542082171687,,,,0.3659,OLS+XGBoost
M3: NSII+Demo,0.4028700119538522,0.4019319711288246,4464,8813.444962993464,1.6940551441728382,0.10753599522104579,6.510886289095554e-56,0.5503,OLS+XGBoost
M4: Demo only,0.37337932229299253,0.37253576742060257,4464,9026.639014303544,,,,,OLS only
